Trial,Cumulative_Reward,Cumulative_Regret
10275,41113.72438618513,-9.724386185131152
10276,41119.21798470482,-11.217984704817354
10277,41122.5393536868,-10.539353686799586
10278,41124.01195634744,-8.011956347443629
10279,41129.04968538343,-9.04968538342655
10280,41132.48425615056,-8.484256150557485
10281,41135.61578614577,-7.615786145768652
10282,41137.85853691849,-5.858536918487516
10283,41142.42075126341,-6.420751263409329
10284,41145.565972781835,-5.565972781834716
10285,41150.14752923473,-6.147529234731337
10286,41152.93342877016,-4.933428770156752
10287,41155.9441131257,-3.9441131256971858
10288,41159.14139517232,-3.141395172322518
10289,41164.38563525983,-4.385635259830451
10290,41168.146300675115,-4.146300675114617
10291,41171.165644984714,-3.165644984714163
10292,41176.66811241963,-4.668112419632962
10293,41180.647204266075,-4.647204266075278
10294,41184.1621558777,-4.162155877696932
10295,41187.92729689702,-3.9272968970180955
10296,41191.52182708299,-3.5218270829864196
10297,41195.047998431895,-3.047998431895394
10298,41199.27047574809,-3.270475748089666
10299,41204.113659636154,-4.113659636153898
10300,41207.53935067542,-3.539350675418973
10301,41210.65598350273,-2.655983502729214
10302,41214.68684789457,-2.6868478945689276
10303,41219.06158322499,-3.0615832249895902
10304,41221.71257677862,-1.7125767786201322
10305,41225.17541485312,-1.1754148531181272
10306,41231.79551611265,-3.795516112651967
10307,41237.67344523443,-5.673445234431711
10308,41242.45816476076,-6.458164760762884
10309,41246.77802768653,-6.7780276865305495
10310,41251.54532267237,-7.545322672369366
10311,41254.93488523767,-6.934885237671551
10312,41259.205162947765,-7.20516294776462
10313,41261.63247035847,-5.632470358468709
10314,41266.37233641635,-6.372336416352482
10315,41270.231869678726,-6.231869678726071
10316,41273.05852002508,-5.058520025078906
10317,41278.36613870164,-6.366138701640011
10318,41280.370668656506,-4.370668656505586
10319,41284.42671369942,-4.426713699416723
10320,41287.79594432001,-3.795944320008857
10321,41292.88342199375,-4.883421993748925
10322,41296.38585220528,-4.3858522052832996
10323,41301.06598485042,-5.065984850421955
10324,41304.54449597713,-4.544495977126644
10325,41306.48747540015,-2.487475400150288
10326,41309.99260659469,-1.9926065946929157
10327,41312.93851978132,-0.9385197813171544
10328,41316.876864832055,-0.8768648320547072
10329,41320.83696306181,-0.8369630618108204
10330,41324.92278966128,-0.9227896612792392
10331,41327.79433061907,0.2056693809281569
10332,41330.70070811363,1.2992918863674277
10333,41336.73980520498,-0.7398052049829857
10334,41340.06608057064,-0.06608057064295281
10335,41345.02048094641,-1.0204809464121354
10336,41348.25669058395,-0.25669058394851163
10337,41352.314353647744,-0.314353647743701
10338,41355.493085712704,0.5069142872962402
10339,41361.15758394031,-1.157583940308541
10340,41365.20047614361,-1.200476143611013
10341,41369.25885613902,-1.2588561390221003
10342,41371.878384782416,0.12161521758389426
10343,41375.222304318995,0.7776956810048432
10344,41378.88972487197,1.1102751280268421
10345,41381.700643826334,2.2993561736657284
10346,41386.57118022362,1.4288197763817152
10347,41391.14442893255,0.8555710674481816
10348,41394.024544060274,1.9754559397260891
10349,41397.71705796922,2.2829420307825785
10350,41401.93597718655,2.0640228134507197
10351,41405.89443856361,2.105561436386779
10352,41409.99998018521,2.0000198147899937
10353,41413.30437764797,2.6956223520319327
10354,41417.982870326545,2.0171296734552016
10355,41421.017728761384,2.9822712386157946
10356,41422.75655845963,5.243441540369531
10357,41428.71393891386,3.286061086138943
10358,41435.03013290217,0.9698670978323207
10359,41440.26307907432,-0.263079074320558
10360,41445.86413383019,-1.8641338301895303
10361,41448.9372013743,-0.9372013742977288
10362,41452.741394049066,-0.7413940490660025
10363,41456.97123544996,-0.971235449957021
10364,41462.0367891576,-2.0367891576024704
10365,41465.98483250633,-1.9848325063285301
10366,41468.74330351387,-0.7433035138674313
10367,41474.242192934755,-2.242192934754712
10368,41478.401815641664,-2.401815641664143
10369,41481.63011538591,-1.6301153859094484
10370,41484.45227110673,-0.452271106732951
10371,41488.26684569646,-0.2668456964602228
10372,41493.45301411089,-1.4530141108916723
10373,41498.60488703302,-2.6048870330196223
10374,41504.83135131564,-4.83135131563904
10375,41508.52617504204,-4.52617504203954
10376,41513.35881251305,-5.3588125130481785
10377,41517.855196166725,-5.855196166725364
10378,41522.51673629202,-6.516736292018322
10379,41527.261954007256,-7.261954007255554
