Trial,Bandit,Reward,Algorithm
124,2.0,1.427742196668243,ThompsonSampling
125,2.0,4.782473582884116,ThompsonSampling
126,2.0,2.803433459706496,ThompsonSampling
127,2.0,2.907063431744808,ThompsonSampling
128,2.0,2.617891456242516,ThompsonSampling
129,2.0,2.892869820907801,ThompsonSampling
130,2.0,2.813846176146764,ThompsonSampling
131,2.0,2.6695355875451865,ThompsonSampling
132,2.0,3.525668608340938,ThompsonSampling
133,2.0,0.718617435100394,ThompsonSampling
134,2.0,2.7392220030335577,ThompsonSampling
135,2.0,2.5915506074581622,ThompsonSampling
136,2.0,2.577894842719255,ThompsonSampling
137,2.0,2.894477849216253,ThompsonSampling
138,2.0,2.911053753139443,ThompsonSampling
139,2.0,2.2653707654170017,ThompsonSampling
140,2.0,2.192078659964248,ThompsonSampling
141,2.0,2.0636702596046366,ThompsonSampling
142,2.0,2.119921907607195,ThompsonSampling
143,2.0,1.9858100058310078,ThompsonSampling
144,2.0,3.7665684414670455,ThompsonSampling
145,2.0,2.8026442044705537,ThompsonSampling
146,2.0,2.8044115808307373,ThompsonSampling
147,2.0,3.2220949655339766,ThompsonSampling
148,2.0,0.9956682615074826,ThompsonSampling
149,2.0,3.769769534620208,ThompsonSampling
150,2.0,3.37294571923383,ThompsonSampling
151,2.0,3.488673640221045,ThompsonSampling
152,2.0,4.4218320933152215,ThompsonSampling
153,2.0,2.57522409992789,ThompsonSampling
154,2.0,3.356769216449363,ThompsonSampling
155,2.0,4.058699384198099,ThompsonSampling
156,1.0,2.294281988752972,ThompsonSampling
157,2.0,3.6797327443723074,ThompsonSampling
158,2.0,4.230723980982517,ThompsonSampling
159,2.0,2.032341128712399,ThompsonSampling
160,2.0,3.288436025694753,ThompsonSampling
161,2.0,2.9358048961953607,ThompsonSampling
162,2.0,0.8235585477992,ThompsonSampling
163,2.0,1.9622746288105046,ThompsonSampling
164,2.0,3.845594439480846,ThompsonSampling
165,2.0,3.870615091043553,ThompsonSampling
166,2.0,3.7480837010407013,ThompsonSampling
167,2.0,2.181790971262378,ThompsonSampling
168,2.0,3.9288483789329454,ThompsonSampling
169,2.0,2.890045486333,ThompsonSampling
170,2.0,3.029838967426067,ThompsonSampling
171,2.0,3.6175847158903656,ThompsonSampling
172,2.0,3.1603177551334336,ThompsonSampling
173,2.0,3.584537271060736,ThompsonSampling
174,2.0,3.8654588554082765,ThompsonSampling
175,2.0,3.4478908239520702,ThompsonSampling
176,2.0,3.874416089407757,ThompsonSampling
177,2.0,2.6703462761839782,ThompsonSampling
178,2.0,3.216111436813908,ThompsonSampling
179,2.0,2.5230443427959126,ThompsonSampling
180,2.0,3.4880889876933994,ThompsonSampling
181,2.0,1.8411067819323654,ThompsonSampling
182,2.0,4.185266154453126,ThompsonSampling
183,2.0,3.689686162412562,ThompsonSampling
184,2.0,0.7992389076560156,ThompsonSampling
185,2.0,3.18508831511437,ThompsonSampling
186,2.0,4.211974758693346,ThompsonSampling
187,2.0,4.337156429010355,ThompsonSampling
188,2.0,2.9015579742518267,ThompsonSampling
189,2.0,2.1940196618259593,ThompsonSampling
190,2.0,2.3169151209499477,ThompsonSampling
191,2.0,3.8738226706246266,ThompsonSampling
192,2.0,2.6425719223663404,ThompsonSampling
193,2.0,4.714160015069243,ThompsonSampling
194,2.0,4.182251924840893,ThompsonSampling
195,2.0,2.490145656389475,ThompsonSampling
196,2.0,3.2718037854046913,ThompsonSampling
197,2.0,1.4323849921590228,ThompsonSampling
198,2.0,1.7948235805198383,ThompsonSampling
199,2.0,3.2691089607276647,ThompsonSampling
200,2.0,2.237885300730952,ThompsonSampling
201,2.0,5.617598562525593,ThompsonSampling
202,2.0,3.6754436825064474,ThompsonSampling
203,2.0,1.9735277599424497,ThompsonSampling
204,2.0,3.411570922111931,ThompsonSampling
205,2.0,2.4549794328309376,ThompsonSampling
206,2.0,4.242057664680519,ThompsonSampling
207,2.0,3.5682055883786923,ThompsonSampling
208,2.0,4.55914409697278,ThompsonSampling
209,2.0,2.9493845169406474,ThompsonSampling
210,2.0,2.868406502288479,ThompsonSampling
211,2.0,2.0656880706030396,ThompsonSampling
212,2.0,3.090120260329834,ThompsonSampling
213,2.0,2.206354156918409,ThompsonSampling
214,2.0,2.586894658494092,ThompsonSampling
215,2.0,3.4091855910289715,ThompsonSampling
216,2.0,2.5482481408529205,ThompsonSampling
217,2.0,2.7924221436500196,ThompsonSampling
218,2.0,3.204129946542405,ThompsonSampling
219,2.0,3.8536215481759943,ThompsonSampling
220,2.0,3.6729386857510313,ThompsonSampling
221,3.0,4.156618528571059,ThompsonSampling
222,2.0,2.7643632874592377,ThompsonSampling
223,2.0,2.8764714230491557,ThompsonSampling
224,2.0,4.967879706886352,ThompsonSampling
225,3.0,1.0166949171930963,ThompsonSampling
226,2.0,1.7845965462473394,ThompsonSampling
227,1.0,1.6598953087715167,ThompsonSampling
228,2.0,2.639219295048185,ThompsonSampling
229,2.0,3.471453595557462,ThompsonSampling
230,2.0,2.536832398473577,ThompsonSampling
231,2.0,2.2348122109835638,ThompsonSampling
232,2.0,5.3825709608521874,ThompsonSampling
233,2.0,3.8463004645063643,ThompsonSampling
234,2.0,3.3894537821475987,ThompsonSampling
235,2.0,3.8635765618958073,ThompsonSampling
236,2.0,3.782333427662323,ThompsonSampling
237,2.0,1.8486084167666696,ThompsonSampling
238,2.0,3.489940019871851,ThompsonSampling
239,2.0,2.6534848318040023,ThompsonSampling
240,2.0,1.8104327904196689,ThompsonSampling
241,2.0,1.9942930045933636,ThompsonSampling
242,2.0,1.8667686915776582,ThompsonSampling
243,3.0,3.7482858995860227,ThompsonSampling
244,2.0,3.916504494296231,ThompsonSampling
245,2.0,4.292408214749117,ThompsonSampling
246,2.0,4.259923124123948,ThompsonSampling
247,2.0,3.3297625770562447,ThompsonSampling
248,2.0,2.38175949623749,ThompsonSampling
249,3.0,5.20034823979411,ThompsonSampling
250,3.0,2.4581411913171296,ThompsonSampling
251,2.0,2.796922623418205,ThompsonSampling
252,2.0,3.243629443675114,ThompsonSampling
253,2.0,3.1998600400751402,ThompsonSampling
254,2.0,2.554058680954775,ThompsonSampling
255,2.0,3.523276410191092,ThompsonSampling
256,2.0,4.46117221457509,ThompsonSampling
257,2.0,3.0270022003874844,ThompsonSampling
258,2.0,3.335014670563963,ThompsonSampling
259,2.0,3.2287261443618953,ThompsonSampling
260,3.0,4.826208976639409,ThompsonSampling
261,2.0,1.6613248126391245,ThompsonSampling
262,3.0,4.935031310996902,ThompsonSampling
263,3.0,5.5024765813348075,ThompsonSampling
264,2.0,4.331236858021538,ThompsonSampling
265,3.0,3.503342510665604,ThompsonSampling
266,3.0,3.773569280304909,ThompsonSampling
267,3.0,5.418476335630958,ThompsonSampling
268,3.0,5.025539194902305,ThompsonSampling
269,3.0,5.6191183570555,ThompsonSampling
270,3.0,3.91883074890051,ThompsonSampling
271,3.0,4.666484656453983,ThompsonSampling
272,3.0,3.5015789776767408,ThompsonSampling
273,3.0,5.398607343757472,ThompsonSampling
274,3.0,2.307567004452968,ThompsonSampling
275,3.0,4.860565493104371,ThompsonSampling
276,3.0,3.9471479629835047,ThompsonSampling
277,3.0,4.651237152881833,ThompsonSampling
278,3.0,4.938528574195805,ThompsonSampling
279,3.0,5.079434106229614,ThompsonSampling
280,3.0,3.8958946028648547,ThompsonSampling
281,3.0,5.149164277187233,ThompsonSampling
282,3.0,3.9271971429109924,ThompsonSampling
283,3.0,4.972288034952118,ThompsonSampling
284,3.0,3.806724025973543,ThompsonSampling
285,3.0,4.85290565142731,ThompsonSampling
286,3.0,3.472596806460909,ThompsonSampling
287,3.0,3.7007366900108876,ThompsonSampling
288,3.0,3.083313019761157,ThompsonSampling
289,3.0,4.575412589445317,ThompsonSampling
290,3.0,5.336048710129705,ThompsonSampling
291,3.0,3.737486044216083,ThompsonSampling
292,3.0,1.4288864347321413,ThompsonSampling
293,3.0,4.602605533174687,ThompsonSampling
294,3.0,3.4226727106172814,ThompsonSampling
295,3.0,4.693220443396395,ThompsonSampling
296,3.0,3.725073763721145,ThompsonSampling
297,3.0,2.6126168205203264,ThompsonSampling
298,3.0,2.9443043554357233,ThompsonSampling
299,3.0,2.6855234473455365,ThompsonSampling
300,3.0,3.504309383719492,ThompsonSampling
301,3.0,3.489207352385081,ThompsonSampling
302,3.0,5.656859570723554,ThompsonSampling
303,3.0,2.0136962985883056,ThompsonSampling
